"space station s.v.  ","Space Station Silicon Valley"
"ss silicon valley   ","Space Station Silicon Valley"
"st andrew golf      ","St. Andrew Golf"
"st andrew's golf    ","St. Andrew Golf"
"starcraft 64 beta   ","Star Craft 64 Beta"
"starcraft 64        ","Star Craft 64"
"star soldier        ","Star Soldier"
"star twins          ","Star Twins"
"star wars ep1 racer ","Star Wars - Episode 1 POD Racer"
"rogue squadron      ","Star Wars - Rogue Squadron"
"starfox64           ","Starfox 64"
"starfox64 patched us","Starfox 64 (cracked)"
"starshot            ","Starshot"
"super bowling       ","Super Bowling"
"mario64 rumble      ","Super Mario 64 (Rev. 3) - Shindou Rumble Edition"
"superrobotspirits   ","Super Robot Spirits"
"super robot spirits ","Super Robot Spirits"
"smash brothers      ","Super Smash Brothers"
"super speed race 64 ","Super Speed Race"
"supercross          ","Supercross 2000"
"superman            ","Superman - The Animated Series"
"tactics soccer      ","Tactics Soccer"
"tamagotchi          ","Tamagotchi World 64"
"tamagotchi 64       ","Tamagotchi World 64"
"telefoot soccer 2000","Telefoot Soccer 2000"
"tetris64            ","Tetris 64"
"tetrisphere         ","Tetrisphere"
"zelda 64 hs'98      ","The Legend of Zelda 64 (with High Society '98 Intro)"
"newtetris           ","The New Tetris"
"tonic trouble       ","Tonic Trouble"
"tony hawk pro skater","Tony Hawk's Pro Skater"
"tony hawk skateboard","Tony Hawk's Pro Skater"
"top gear hyper bike ","Top Gear Hyper Bike"
"sp - tg overdrive   ","Top Gear Overdrive"
"top gear overdrive  ","Top Gear Overdrive"
"top gear rally      ","Top Gear Rally"
"top gear rally 2    ","Top Gear Rally 2"
"toy story 2         ","Toy Story 2"
"triple play 2000    ","Triple Play 2000"
"trouble makers      ","Trouble Makers"
"toukon road         ","Toukon Road"
"toukon road2        ","Toukon Road 2"
"toukon road 2       ","Toukon Road 2"
"turok: rage wars    ","Turok - Rage Wars"
"turok 2: seeds of ev","Turok 2 - Seeds of Evil"
"turok 2: kiosk      ","Turok 2 - Seeds of Evil (Display Cartridge)"
"violencekiller      ","Turok 2 - Violence Killer"
"twisted edge        ","Twisted Edge"
"ultraman battle japa","Ultraman Battle"
"vigilante 8         ","Vigliante 8"
"v8: second offense  ","Vigilante 8 2nd Offence"
"virtualchess        ","Virtual Chess 64"
"virtual chess 64    ","Virtual Chess 64"
"virtual pool 64     ","Virtual Pool 64"
"virtual pool        ","Virtual Pool 64"
"virtual pro wrestle ","Virtual Pro Wrestling"
"v p wrestling 64    ","Virtual Pro Wrestling"
"waialae country club","Waialae Country Club Golf"
"war gods            ","War Gods"
"wave race 64 se     ","Wave Race 64 (Rev. 2) - Shindou Rumble Edition"
"waverace64shindou   ","Wave Race 64 (Rev. 2) - Shindou Rumble Edition"
"w.g. 3dhockey       ","Wayne Gretzky's 3D Hockey"
"wghockey            ","Wayne Gretzky's 3D Hockey"
"w.g 3d hockey       ","Wayne Gretzky's 3D Hockey"
"w.g. 3d hockey      ","Wayne Gretzky's 3D Hockey"
"wayne gretzky hockey","Wayne Gretzky's 3D Hockey"
"w.g. 3dhockey98     ","Wayne Gretzky's 3D Hockey '98"
"w.g 3d hockey 98    ","Wayne Gretzky's 3D Hockey '98"
"wcw mayhem          ","WCW Mayhem"
"nitro64             ","WCW vs. nWo Nitro"
"wcw / nwo  revenge  ","WCW vs. nWo Revenge"
"wcw / nwo revenge   ","WCW vs. nWo Revenge"
"wcwrevenge          ","WCW vs. nWo Revenge"
"wcwvsnwo world tour ","WCW vs. nWo World Tour"
"wetrix              ","Wetrix"
"wheel of fortune    ","Wheel of Fortune"
"wild choppers       ","Wild Choppers"
"win back            ","Win Back"
"wipeout 64          ","Wipeout 64"
"wipe out 64         ","Wipeout 64"
"world driver champ  ","World Driver Championship"
"wonder project j2   ","Wonder Project J2"
"world cup 98        ","World Cup '98"
"worms n64           ","Worms Armageddon"
"worms armageddon    ","Worms Armageddon"
"wwf: attitude       ","WWF Attitude"
"wwf war zone        ","WWF War Zone"
"wrestlemania 2000   ","WWF Wrestlemania 2000"
"wrestlemania2000    ","WWF Wrestlemania 2000"
"xenawarriorprincess ","Xena Warrior Princess"
"yakoutyuu2          ","Yakoutyuu 2"
"yoshi story         ","Yoshi's Story"
"yoshi               ","Yoshi's Story"
"                                    ",""
" japanische spiele / janese games ",""
"                                    ",""
"64ÍÂÏ‡˛ ~„˝ºÈÙ∏ø∏~  ","64 Hanafuda - Tenshi No Yakusoku"
"64 µµΩ˛Û≥ 2         ","64 Ohzumou 2 - Bottom Up"
"¥±∞Ó˛∞‡˛∞64         ","Airboarders 64"
"aiºÆ≥∑˛3            ","Ai Shogi 3"
"Ó˛∏º˛Æ≥ÛÈ∂˛‡¯2      ","Bokujo Monogatari 2"
"Ó˛˝Í˛∞Ô˝ Î∞˚∞       ","Bomberman Hero"
"·Æ˚q64 2            ","Choro Q 64 2"
"„˛˝º¨„˛go!64        ","Densha de GO! 64"
"‰˛◊¥Û˝ Ø‚Èæ≤˙≤æ∑   ","Doraemon"
"‰˛◊¥Û˝2 Î∂¯Èº˝„˛˝   ","Doraemon 2"
"¥∏Ω‰¯∞Òg2           ","Extreme G 2"
"‡˛≤ÂÔ≤‰ªØ∂∞64       ","Justice League - Dynamite Soccer"
"ÏßΩ‡ 64            ","Famista 64"
"„˛˝¯≠≥≤◊≤◊Ó˛≥       ","Fire Electric Pen"
"Î¯≠≥Èπ˝ ‚≤˝         ","Flying Dragon Fighters"
"Í˛∏ºÆ≥º˛˝æ≤64       ","Game of Life"
"∂˛˝Í˛˙ ∫˛¥Û˝        ","Ganbake Goemon"
"∫˛¥Û˝ÛÈÈπΩ∫˛˚∏      ","Goemon Mononoke Sugoroku"
"¥≤∫≥Èæ˝‰±˝‰˛¯≠∞Ω    ","Habu Shogi St. Andrews"
"heiwa Íﬂ·˝∫ ¸∞˘‰˛64 ","Heiwa Pachinko World"
"∑◊Ø‰∂≤π‚ 64‡˝„≤‡˛˝  ","Kiratto Kaiketsu ! 64 Tanteidan"
"ª≤∑Æ≥ÍÏ˛ºÆ≥∑˛       ","Kuiki Uhabi Suigo (Shogi)"
"ª≤∑Æ≥ÍÏ˛ºÆ≥∑˛       ","Mahjong 2"
"Ô∞º˛¨˝‰˛≥64         ","Mahjong 3"
"Ô∞º˛¨˝Ó≥˚≥∑classic  ","Mahjong Classic"
"Ô∞º˛¨˝ ÔΩ‡∞         ","Mahjong Master"
"Ô¯µÈÏ´‰Îﬂ∞          ","Mario No Photopie"
"Û¯‡ºÆ≥∑˛64          ","Morita Shogi 64"
"Áº‚˛¯64             ","Nushi Zuri 64"
"Ä    i¯;π Ï@d    ","Nushi Zuri 64"
"[∑◊Ø‰∂≤π‚ 64‡˝„≤‡˛˝ ","Rakuga Kids"
